GEOID,Median_Housing_Price_2021
1400000US06037267300,548000
1400000US06037267403,728700
1400000US06037267404,941000
1400000US06037267405,804900
1400000US06037267406,662500
1400000US06037267502,1123000
1400000US06037267503,947700
1400000US06037267504,784500
1400000US06037267600,962900
1400000US06037267700,883900
1400000US06037267800,1193300
1400000US06037267901,1344900
1400000US06037267902,1207100
1400000US06037269000,2000001
1400000US06037269100,1826100
1400000US06037269300,2000001
1400000US06037269500,2000001
1400000US06037269601,769500
1400000US06037269602,1216500
1400000US06037269700,1096400
1400000US06037269800,903800
1400000US06037269903,944400
1400000US06037269905,NA
1400000US06037269906,745500
1400000US06037269907,767900
1400000US06037269908,NA
1400000US06037269909,940200
1400000US06037270101,281600
1400000US06037270102,886700
1400000US06037270200,1094000
1400000US06037270300,1158900
1400000US06037271100,1263600
1400000US06037271200,834500
1400000US06037271300,1168900
1400000US06037271400,1492900
1400000US06037271500,1872500
1400000US06037271600,1593100
1400000US06037271702,1158700
1400000US06037271703,1334900
1400000US06037271704,1319900
1400000US06037271801,1154300
1400000US06037271803,661800
1400000US06037271804,1222800
1400000US06037271901,1512000
1400000US06037271902,1653500
1400000US06037272100,1415600
1400000US06037272201,1132500
1400000US06037272202,920500
1400000US06037272301,1279300
1400000US06037272302,745900
1400000US06037273100,1662300
1400000US06037273200,1681400
1400000US06037273300,1835200
1400000US06037273403,2000001
1400000US06037273404,1603300
1400000US06037273502,1845000
1400000US06037273600,2000001
1400000US06037273700,1843400
1400000US06037273800,1594500
1400000US06037273902,2000001
1400000US06037274100,1389500
1400000US06037274202,1588200
1400000US06037275101,996000
1400000US06037275102,1202700
1400000US06037275200,936500
1400000US06037275311,1009100
1400000US06037275312,912100
1400000US06037275313,1071500
1400000US06037275400,1087500
1400000US06037275500,782300
1400000US06037275603,933100
1400000US06037275604,1108900
1400000US06037275605,1519000
1400000US06037276000,1088200
1400000US06037276101,610500
1400000US06037276102,952800
1400000US06037276400,1295500
1400000US06037276500,1044500
1400000US06037276601,1542400
1400000US06037276605,706900
1400000US06037276606,666800
1400000US06037276607,1151400
1400000US06037276608,488700
1400000US06037277000,1326300
1400000US06037277100,988100
1400000US06037277200,450000
1400000US06037277400,NA
1400000US06037278001,942200
1400000US06037278102,1645900
1400000US06037291110,683900
1400000US06037291120,491800
1400000US06037291130,472600
1400000US06037291210,602200
1400000US06037291220,621500
1400000US06037291300,612600
1400000US06037292001,635700
1400000US06037292002,646600
1400000US06037293203,642600
1400000US06037293204,604900
1400000US06037293205,451000
1400000US06037293206,618200
1400000US06037293301,601900
1400000US06037293302,552400
1400000US06037293304,590300
1400000US06037293306,634200
1400000US06037293307,429000
1400000US06037294110,526400
